ST	n
ST369	2
ST3693	1
ST371	2
ST3711	1
ST372	480
ST3721	1
ST3723	1
ST373	1
ST3752	1
ST3764	2
ST38	499
ST3835	1
ST3840	1
ST3856	1
ST3858	3
ST3863	1
ST3877	3
ST388	4
ST39	1
ST390	10
ST3902	1
ST393	63
ST394	74
ST3941	1
ST3944	1
ST398	8
ST399	11
ST3998	1
ST4	1
ST40	1
ST401	1
ST4038	3
ST404	141
ST4040	1
ST4045	2
ST4049	1
ST405	389
ST4086	1
ST4087	1
ST4088	1
ST409	11
ST4092	1
ST4095	1
ST41	1
ST410	355
ST4118	2
ST416	5
ST4166	2
ST4173	2
ST4175	1
ST4198	2
ST42	1
ST420	85
ST421	31
ST4219	4
ST4238	1
ST424	3
ST4260	10
ST4274	1
ST4279	3
ST428	36
ST429	29
ST43	4
ST4358	1
ST4360	1
ST4363	1
ST4373	1
ST4392	1
ST4398	2
ST44	38
ST4400	1
ST442	7
ST4421	1
ST443	7
ST4434	1
ST4450	2
ST4456	4
ST446	5
ST448	45
ST449	1
ST45	3
ST450	18
ST452	3
ST453	47
ST4553	1
ST4566	4
ST457	77
ST4577	1
ST46	41
ST4603	1
ST4607	1
ST4611	3
ST4612	1
ST4623	1
ST4702	3
ST4713	3
ST4741	2
ST4747	1
ST4767	1
ST48	25
ST484	1
ST485	1
ST4862	2
ST491	38
ST4981	7
ST4985	1
ST4988	1
ST500	2
ST501	12
ST5014	1
ST5022	2
ST5026	1
ST5041	1
ST5064	1
ST5135	4
ST5148	1
ST515	1
ST5150	5
ST5155	1
ST5156	1
ST52	1
ST5204	1
ST5229	3
ST5242	1
ST5259	1
ST5274	2
ST5281	1
ST5295	1
ST5308	2
ST5317	1
ST5325	1
ST5328	1
ST533	7
ST5337	3
ST5340	2
ST5355	1
ST5357	2
ST5360	1
ST5369	1
ST537	56
ST5370	1
ST5377	1
ST538	39
ST539	2
ST54	1
ST540	18
ST5409	2
ST5412	1
ST5414	1
ST5415	1
ST542	5
ST5422	1
ST5423	1
ST5425	1
ST543	5
ST5430	3
ST544	4
ST5440	1
ST5441	1
ST5442	1
ST5451	1
ST5457	1
ST5468	1
ST547	5
ST5484	2
ST549	2
ST5493	3
ST5498	2
ST550	19
ST5514	1
ST5523	1
ST5539	1
ST5548	1
ST555	15
ST5567	1
ST5571	3
ST5584	1
ST5597	3
ST56	11
ST5602	1
ST5612	1
ST5614	3
ST5617	1
ST5632	1
ST5642	1
ST5644	1
ST5646	1
ST5652	1
ST5662	1
ST5663	1
ST5667	2
ST567	15
ST569	34
ST57	24
ST5702	1
ST5706	1
ST5744	1
ST5771	1
ST5778	1
ST5783	1
ST5784	2
ST58	194
ST5840	2
ST5841	1
ST5853	1
ST5869	1
ST5891	4
ST5895	1
ST5896	2
ST59	185
ST5901	2
ST5903	2
ST5908	1
ST5909	1
ST5910	2
ST5912	1
ST5931	1
ST5936	1
ST5940	2
ST5941	1
ST5942	1
ST5954	3
ST5974	1
ST598	2
ST599	1
ST5999	1
ST6009	1
ST602	11
ST6025	1
ST603	4
ST607	19
ST6074	1
ST6082	2
ST6083	1
ST609	3
ST6096	3
ST6113	30
ST6119	1
ST614	1
ST6143	1
ST615	1
ST6152	1
ST616	2
ST6166	1
ST6168	2
ST617	103
ST6170	1
ST6178	1
ST618	3
ST6187	1
ST6190	1
ST62	86
ST6210	3
ST6214	1
ST6224	1
ST6239	1
ST624	9
ST6242	2
ST625	14
ST6250	1
ST6255	2
ST6293	1
ST6296	1
ST6306	1
ST6309	1
ST6316	1
ST6321	2
ST6332	5
ST6338	1
ST635	1
ST6355	8
ST6359	6
ST636	59
ST6375	1
ST6383	1
ST6385	1
ST6395	1
ST640	3
ST6402	1
