ST	n
ST12274	2
ST12276	1
ST1228	2
ST12282	1
ST12284	1
ST12285	1
ST12286	1
ST12287	1
ST12288	1
ST12289	1
ST12290	1
ST12291	1
ST12293	1
ST12294	1
ST12295	1
ST12296	4
ST12297	3
ST12298	1
ST12299	1
ST123	2
ST12300	2
ST12303	1
ST12305	1
ST12307	1
ST12308	1
ST12309	1
ST1231	10
ST12310	1
ST12311	1
ST12312	2
ST12313	2
ST12314	1
ST12315	1
ST12316	1
ST12317	1
ST12318	1
ST12319	1
ST12320	1
ST12321	1
ST12322	1
ST12323	1
ST12324	1
ST12325	1
ST12326	1
ST12327	1
ST12328	1
ST12329	1
ST12330	2
ST12331	1
ST12332	1
ST12335	1
ST12336	2
ST12337	1
ST12338	1
ST12339	1
ST12340	1
ST12341	1
ST12344	1
ST12348	1
ST12349	1
ST12350	1
ST12351	1
ST12352	1
ST12353	20
ST12354	8
ST12355	1
ST12356	1
ST12358	1
ST1236	64
ST12360	1
ST12363	1
ST12364	1
ST12365	1
ST12366	1
ST12367	1
ST12368	1
ST1237	3
ST12370	1
ST12371	1
ST12372	1
ST12373	2
ST12374	1
ST12375	1
ST12376	1
ST12377	1
ST12378	1
ST12380	1
ST12381	1
ST12382	1
ST12383	2
ST12384	1
ST12385	2
ST12398	1
ST124	19
ST12401	3
ST12403	1
ST12404	1
ST12405	2
ST12406	1
ST12407	1
ST12409	1
ST12410	1
ST12411	1
ST12412	1
ST12413	1
ST12414	1
ST12416	2
ST12418	1
ST12421	5
ST12423	2
ST12427	2
ST12430	1
ST12431	1
ST12432	1
ST12434	1
ST12436	2
ST12439	1
ST1244	41
ST12440	2
ST12441	2
ST12442	1
ST12446	1
ST12448	1
ST1245	13
ST12451	2
ST12458	1
ST1246	36
ST12461	1
ST12462	3
ST12464	7
ST12465	1
ST12467	1
ST12468	20
ST12469	1
ST1248	25
ST12480	1
ST12481	1
ST12482	3
ST12483	1
ST12484	6
ST12485	2
ST12487	2
ST12489	1
ST1249	20
ST12490	1
ST12491	1
ST12492	1
ST12493	1
ST12494	3
ST12495	1
ST12496	2
ST12498	1
ST12499	1
ST1250	40
ST12500	1
ST12501	1
ST12502	1
ST12503	1
ST12504	1
ST12505	1
ST12506	1
ST12508	1
ST12509	1
ST1251	11
ST12510	1
ST12511	1
ST12513	1
ST12514	1
ST12515	1
ST12516	1
ST12519	1
ST1252	26
ST12522	1
ST12523	1
ST12524	1
ST12525	1
ST12526	2
ST12528	1
ST12529	2
ST12530	1
ST12531	1
ST12532	1
ST12533	2
ST12534	2
ST12535	1
ST12536	1
ST12537	1
ST12538	1
ST12539	1
ST12540	1
ST12541	1
ST12542	2
ST12543	1
ST12547	2
ST12548	2
ST12549	6
ST12550	1
ST12553	1
ST12554	1
ST12556	1
ST12557	2
ST12559	1
ST12561	1
ST12563	1
ST12564	1
ST12565	1
ST12566	2
ST12568	1
ST12569	1
ST1257	8
ST12571	2
ST12573	1
ST12574	1
ST12575	1
ST12576	1
ST12577	1
ST1258	7
ST12580	1
ST12581	1
ST12582	1
ST12583	1
ST12584	1
ST12585	2
ST12586	1
ST12587	4
ST12588	1
ST12589	1
ST12591	1
ST12593	1
ST12594	3
ST12595	1
ST12596	1
ST12597	1
ST12598	1
ST12599	1
ST126	43
ST1260	8
ST12601	1
ST12602	1
ST12603	1
ST12604	1
ST12605	1
ST12606	2
ST12607	1
ST12608	1
ST12610	2
ST12612	1
ST12613	1
ST12614	1
ST12615	1
ST12616	1
ST1262	39
ST12622	2
ST12623	2
ST12626	1
ST12627	2
ST12628	1
ST12634	2
ST12635	1
ST12636	1
ST12637	3
ST12638	1
ST12640	2
ST12641	1
ST12642	1
ST12643	1
ST12646	1
ST12647	1
ST12648	1
ST12649	1
ST12650	1
ST12653	1
ST12654	2
ST12655	1
ST12656	1
ST12657	1
ST12658	1
ST12659	1
ST1266	42
ST12660	1
ST12661	1
ST12662	1
ST12663	1
ST12665	1
ST12666	1
ST12667	1
ST12668	3
ST12669	1
ST1267	2
ST12670	1
ST12671	1
ST12672	1
ST12673	2
ST12674	1
ST12675	1
ST12676	3
ST12680	1
ST12682	2
ST12683	1
ST12684	1
ST12685	1
ST12686	1
ST12687	1
ST12688	1
ST12691	2
ST12693	1
ST12694	1
ST12695	1
ST12696	1
ST12697	1
ST12698	1
ST12699	1
ST127	876
ST12700	3
ST12701	1
ST12702	1
ST12706	3
ST12708	1
ST12709	1
ST12710	1
ST12711	1
ST12714	4
ST12715	2
ST12718	1
ST12719	1
ST12720	1
ST12721	2
ST12722	1
ST12723	1
ST12727	1
ST12728	1
ST12732	1
ST12733	8
ST12734	1
ST12736	2
ST12738	1
ST12742	1
ST12746	1
ST12747	1
ST12748	1
ST12749	1
ST12750	2
ST12751	1
ST12752	1
ST12754	1
ST12755	1
ST12756	1
ST12757	1
ST1276	24
ST12766	1
ST12767	1
ST12768	1
ST1277	5
ST12772	1
ST12773	2
ST12774	2
ST12775	1
ST12776	2
ST12777	1
ST12778	1
ST12779	1
ST1278	10
ST12780	3
ST12781	1
ST12782	2
ST12783	1
ST12784	2
ST12785	1
ST12786	1
ST12787	1
ST12788	1
ST12789	1
ST12790	1
ST12791	1
ST12793	1
ST12794	1
ST12795	1
ST12797	2
ST12798	1
ST12799	4
ST1280	4
ST12801	1
ST12802	1
ST12804	1
